insee_code;city_code;zip_code;label;latitude;longitude;department_name;department_number;region_name;region_geojson_name
97612;mtsamboro;97630;mtsamboro;-12.646264794;45.029418215;mayotte;976;mayotte;Mayotte
97602;bandraboua;97650;bandraboua;-12.723466002;45.117966754;mayotte;976;mayotte;Mayotte
97602;bandraboua;97650;bandraboua;-12.723466002;45.117966754;mayotte;976;mayotte;Mayotte
97601;acoua;97630;acoua;-12.724026219;45.068896069;mayotte;976;mayotte;Mayotte
97610;koungou;97600;koungou;-12.746826529;45.186595551;mayotte;976;mayotte;Mayotte
97613;m tsangamouji;97650;m tsangamouji;-12.751168077;45.086392645;mayotte;976;mayotte;Mayotte
97608;dzaoudzi;97615;dzaoudzi;-12.778096775;45.282299191;mayotte;976;mayotte;Mayotte
97608;dzaoudzi;97615;dzaoudzi;-12.778096775;45.282299191;mayotte;976;mayotte;Mayotte
97617;tsingoni;97680;tsingoni;-12.782686007;45.13457636;mayotte;976;mayotte;Mayotte
97617;tsingoni;97680;tsingoni;-12.782686007;45.13457636;mayotte;976;mayotte;Mayotte
97611;mamoudzou;97600;mamoudzou;-12.790231903;45.194781407;mayotte;976;mayotte;Mayotte
97611;mamoudzou;97605;mamoudzou;-12.790231903;45.194781407;mayotte;976;mayotte;Mayotte
97611;mamoudzou;97600;mamoudzou;-12.790231903;45.194781407;mayotte;976;mayotte;Mayotte
97615;pamandzi;97615;pamandzi;-12.796909768;45.284254371;mayotte;976;mayotte;Mayotte
97605;chiconi;97670;chiconi;-12.821689588;45.113253157;mayotte;976;mayotte;Mayotte
97614;ouangani;97670;ouangani;-12.837567293;45.138320778;mayotte;976;mayotte;Mayotte
97614;ouangani;97670;ouangani;-12.837567293;45.138320778;mayotte;976;mayotte;Mayotte
